icb_ons_code,appointment_month,appointment_status,hcp_type,appointment_mode,time_between_book_and_appointment,count_of_appointments
E54000060,5-21,DNA,GP,Telephone,15  to 21 Days,57
E54000055,6-21,Attended,Other Practice staff,Video/Online,1 Day,62
E54000048,9-20,Unknown,GP,Home Visit,8  to 14 Days,3
E54000010,2-22,Unknown,Unknown,Face-to-Face,1 Day,4
E54000057,9-21,Attended,Other Practice staff,Home Visit,1 Day,97
E54000010,7-21,Attended,Other Practice staff,Home Visit,2 to 7 Days,37
E54000051,4-22,Attended,Other Practice staff,Video/Online,2 to 7 Days,10
E54000008,9-21,DNA,GP,Telephone,Unknown / Data Quality,1
E54000054,5-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,23
E54000013,10-21,Attended,Unknown,Home Visit,Same Day,1
E54000008,1-21,Unknown,Other Practice staff,Face-to-Face,15  to 21 Days,126
E54000019,11-21,DNA,Other Practice staff,Telephone,1 Day,223
E54000050,6-20,Unknown,GP,Home Visit,More than 28 Days,1
E54000008,10-21,Unknown,GP,Face-to-Face,More than 28 Days,84
E54000031,1-20,Unknown,GP,Home Visit,2 to 7 Days,125
E54000019,9-20,Attended,Other Practice staff,Home Visit,1 Day,68
E54000029,10-21,Attended,GP,Face-to-Face,8  to 14 Days,18772
E54000028,11-21,DNA,GP,Face-to-Face,22  to 28 Days,355
E54000037,6-22,Unknown,GP,Face-to-Face,Same Day,629
E54000027,3-20,Attended,Unknown,Home Visit,8  to 14 Days,1
E54000023,1-22,Unknown,Unknown,Face-to-Face,Same Day,57
E54000034,1-20,Unknown,Unknown,Home Visit,Same Day,145
E54000008,12-20,Attended,GP,Unknown,22  to 28 Days,115
E54000054,10-21,Unknown,Other Practice staff,Telephone,More than 28 Days,39
E54000057,4-20,DNA,Other Practice staff,Home Visit,15  to 21 Days,1
E54000023,6-21,DNA,Other Practice staff,Telephone,2 to 7 Days,25
E54000056,2-21,Unknown,GP,Home Visit,8  to 14 Days,1
E54000057,5-21,Attended,Other Practice staff,Video/Online,Same Day,32
E54000044,9-20,Unknown,GP,Unknown,15  to 21 Days,5
